English,Korean
acorn,도토리
alien,외계인
amulet,부적
anchor,닻
apple,사과
armor,갑옷
asteroid,소행성
astronaut,우주 비행사
axe,도끼
backpack,배낭
bag,가방
balcony,발코니
ball,공
balloon,풍선
banana,바나나
banquet,연회
barn,헛간
bear,곰
bed,침대
bell,종
bicycle,자전거
binoculars,쌍안경
blackboard,칠판
blanket,담요
block,블록
board,보드
boat,보트
body,몸
book,책
boots,부츠
bottle,병
boulder,둥근 돌
box,상자
branch,나뭇가지
bread,빵
broomstick,빗자루
bucket,양동이
building,건물
bus,버스
cabinet,사물함
camera,카메라
camp,캠프
campfire,캠프파이어
canteen,반합
cap,캡
car,자동차
carriage,마차
castle,성
cat,고양이
cauldron,가마솥
cave,동굴
chair,의자
chalk,분필
chandelier,샹들리에
chicken,닭
cliff,낭떠러지
cloak,망토
clock,시계
comet,혜성
compass,나침반
computer,컴퓨터
control panel,제어판
coral,산호
cottage,시골집
cow,암소
crab,게
crown,왕관
crystal ball,수정 구슬
cup,컵
deer,사슴
desk,책상
diver,잠수부
dog,개
door,문
dragon,용
eagle,독수리
ear,귀
egg,계란
elephant,코끼리
eraser,지우개
eye,눈
face,얼굴
fairy,요정
fan,팬
feather,깃털
fire,불
firework,불꽃
fish,물고기
flag,깃발
flashlight,플래시
flower,꽃
foot,발
footprint,발자국
fountain,분수
fridge,냉장고
fruit,과일
galaxy,은하
globe,지구
glove,장갑
glowworm,반딧불이
goblet,고블릿
goblin,고블린
gown,겉옷
griffin,그리핀
hall,홀
hand,손
harp,하프
hat,모자
head,머리
helmet,헬멧
herb,목초
hiking boots,하이킹 부츠
horse,말
house,집
island,섬
jacket,재킷
jeans,청바지
jewel,보석
key,열쇠
knight,기사
ladder,사다리
lamp,램프
lantern,손전등
leaf,잎
leg,다리
lion,사자
log,통나무
map,지도
marker,마커
market,시장
mask,마스크
meat,고기
mermaid,인어
meteor,유성
mirror,거울
monkey,원숭이
moon,달
moss,이끼
motorcycle,오토바이
mouth,입
mushroom,버섯
nest,둥지
nestling,새끼 새
net,그물
nose,코
notebook,공책
octopus,문어
orb,구
oven,오븐
oxygen tank,산소 탱크
packet,패킷
painting,그림
pants,바지
paper,종이
pearl,진주
pen,펜
pencil,연필
phoenix,피닉스
phone,핸드폰
picture,그림
pinecone,솔방울
pirate,해적
plane,비행기
planet,행성
poster,포스터
potato,감자
potion,물약
princess,공주
probe,조사
projector,영사기
raygun,레이건
ring,반지
road,도로
robot,로봇
rock,바위
rocket,로켓
rope,밧줄
ruler,자
rune,룬 문자
sand,모래
satellite,위성
scarecrow,허수아비
scepter,홀
school,학교
scissors,가위
scroll,스크롤
seagull,갈매기
seashell,조개
servant,하인
shark,상어
sheep,양
shelf,선반
shell,껍데기
shield,방패
shirt,셔츠
shoe,구두
shovel,삽
sleeping bag,침낭
space station,우주 정거장
space suit,우주복
spaceship,우주선
spellbook,주문서
staff,직원
stall,마구간
star,별
stream,개울
student,학생
submarine,잠수함
sword,검
table,테이블
tapestry,태피스트리
teacher,선생님
telescope,망원경
television,텔레비전
tent,텐트
tent stake,텐트 말뚝
throne,왕좌
tiara,티아라
torch,토치
tower,탑
toy,장난감
trail,자취
train,기차
treasure,보물
tree,나무
troll,트롤
trophy,트로피
truck,트럭
unicorn,일각수
van,봉고차
vegetable,채소
veil,베일
vine,덩굴
wagon,화물 기차
wand,지팡이
wave,파도
whale,고래
windmill,풍차
window,창문
wizard hat,마법사 모자
